order_id,customer_id,order_date,status,amount
5000,56,2024-08-18,completed,18.97
5001,33,2024-10-04,returned,109.67
5002,9,2024-04-03,returned,359.9
5003,53,2025-04-06,unknown,59.26
5004,33,2024-02-20,completed,246.55
5005,10,2024-07-26,completed,226.14
5006,34,2025-06-09,completed,354.23
5007,13,2024-11-10,completed,207.02
5008,49,2024-04-05,unknown,245.61
5009,18,2025-05-09,cancelled,207.04
5010,34,2024-10-23,completed,337.28
5011,8,2025-03-08,completed,271.09
5012,14,2024-12-07,completed,376.29
5013,24,2024-06-26,completed,387.28
5014,7,2025-03-14,completed,396.03
5015,11,2025-04-17,cancelled,140.93
5016,21,2024-05-05,completed,140.49
5017,46,2024-02-19,unknown,252.58
5018,5,2024-05-26,completed,388.9
5019,17,2024-11-05,completed,114.01
5020,28,2024-10-22,unknown,368.32
5021,45,2024-12-31,completed,321.44
5022,58,2024-04-15,completed,256.7
5023,6,2024-09-15,completed,185.88
5024,36,2025-04-03,returned,251.71
5025,46,2024-10-02,completed,110.66
5026,60,2024-12-16,unknown,305.72
5027,33,2024-08-01,completed,397.84
5028,2,2025-07-02,completed,209.58
5029,29,2024-05-19,cancelled,265.35
5030,57,2025-03-09,returned,277.59
5031,22,2024-08-22,completed,166.64
5032,4,2024-06-12,returned,176.85
5033,43,2025-02-25,returned,242.72
5034,3,2025-05-16,returned,182.76
5035,22,2024-12-28,returned,93.4
5036,22,2025-02-25,returned,205.08
5037,33,2024-02-06,completed,64.4
5038,26,2024-02-24,completed,41.12
5039,55,2024-07-08,cancelled,307.61
5040,32,2024-07-03,completed,25.16
5041,58,2025-04-15,unknown,62.61
5042,33,2024-02-17,completed,41.36
5043,41,2025-02-04,cancelled,335.64
5044,41,2024-02-20,completed,199.8
5045,52,2024-04-12,unknown,359.96
5046,34,2024-04-08,cancelled,106.86
5047,17,2024-09-28,completed,98.45
5048,30,2025-06-20,completed,195.77
5049,50,2024-03-19,completed,38.37
5050,17,2024-12-08,completed,12.89
5051,18,2024-05-12,cancelled,122.02
5052,30,2025-05-23,completed,397.37
5053,20,2024-04-28,completed,121.52
5054,33,2025-05-06,cancelled,90.26
5055,14,2024-04-17,completed,301.01
5056,24,2024-06-15,unknown,117.59
5057,24,2024-09-24,cancelled,162.48
5058,32,2025-05-07,completed,171.14
5059,8,2025-01-05,returned,336.93
5060,60,2024-08-19,returned,107.26
5061,25,2024-04-19,cancelled,304.22
5062,18,2024-05-15,returned,256.91
5063,18,2025-04-22,completed,311.09
5064,28,2024-03-01,cancelled,366.06
5065,36,2024-08-27,completed,373.92
5066,40,2024-06-21,returned,198.35
5067,36,2024-06-10,cancelled,142.72
5068,48,2024-10-24,completed,125.93
5069,26,2024-06-02,completed,37.47
5070,52,2025-06-24,cancelled,363.25
5071,29,2025-04-13,completed,103.68
5072,36,2024-05-04,returned,109.28
5073,57,2024-02-21,cancelled,158.07
5074,14,2025-02-20,completed,203.27
5075,24,2024-06-08,unknown,254.81
5076,14,2024-05-05,completed,158.75
5077,28,2024-12-16,completed,57.88
5078,49,2025-05-30,cancelled,8.07
5079,60,2025-05-25,completed,314.98
5080,10,2024-05-22,cancelled,41.32
5081,1,2024-06-08,completed,261.04
5082,9,2024-10-15,cancelled,281.84
5083,5,2024-12-04,completed,160.13
5084,39,2024-02-02,returned,398.58
5085,21,2024-10-06,completed,222.42
5086,27,2024-12-11,completed,203.34
5087,27,2024-04-24,cancelled,370.66
5088,3,2025-01-12,returned,275.57
5089,52,2024-11-26,unknown,34.43
5090,13,2024-12-16,completed,98.48
5091,49,2024-11-29,cancelled,247.16
5092,32,2025-04-03,completed,379.91
5093,26,2024-03-27,completed,170.83
5094,12,2025-03-09,returned,295.23
5095,60,2024-07-19,completed,263.77
5096,30,2024-03-04,cancelled,336.94
5097,29,2024-07-23,completed,117.68
5098,57,2024-06-06,completed,157.01
5099,20,2025-04-18,cancelled,84.72
5100,29,2024-08-16,cancelled,19.87
5101,52,2025-03-21,completed,189.91
5102,4,2024-10-21,completed,360.23
5103,18,2025-01-09,completed,110.77
5104,21,2024-11-09,completed,17.51
5105,31,2025-05-22,cancelled,317.6
5106,53,2025-06-20,cancelled,79.71
5107,48,2024-12-07,completed,246.04
5108,21,2025-05-17,completed,208.66
5109,11,2024-10-11,completed,196.82
5110,11,2025-04-12,completed,111.84
5111,7,2025-04-07,cancelled,75.89
5112,30,2024-09-28,completed,313.66
5113,18,2024-11-01,returned,86.08
5114,16,2024-09-29,completed,135.92
5115,16,2025-07-04,completed,264.1
5116,7,2024-02-05,completed,337.5
5117,3,2024-11-27,completed,82.31
5118,38,2024-08-17,returned,208.97
5119,39,2024-10-24,completed,49.47
5120,40,2025-01-24,returned,141.29
5121,17,2024-03-11,completed,327.38
5122,27,2025-02-15,returned,38.55
5123,32,2025-06-10,completed,319.97
5124,10,2024-05-04,cancelled,280.6
5125,19,2024-12-11,completed,130.45
5126,23,2025-03-31,returned,260.64
5127,26,2024-08-27,cancelled,361.44
5128,53,2024-05-03,returned,188.68
5129,1,2024-03-24,cancelled,42.9
5130,24,2025-07-01,returned,119.05
5131,60,2024-04-09,cancelled,303.39
5132,52,2024-08-21,completed,390.41
5133,4,2025-03-04,completed,259.01
5134,40,2025-03-21,completed,333.04
5135,14,2024-03-14,unknown,69.34
5136,10,2024-10-10,completed,24.11
5137,49,2024-03-11,returned,54.15
5138,36,2024-12-10,returned,236.39
5139,43,2025-02-11,cancelled,78.08
5140,32,2025-05-22,cancelled,335.93
5141,26,2024-05-20,returned,176.79
5142,29,2025-07-01,completed,23.94
5143,60,2024-12-18,unknown,39.35
5144,58,2025-02-21,completed,18.14
5145,40,2024-05-23,cancelled,120.85
5146,51,2024-07-19,completed,33.68
5147,49,2024-10-16,returned,362.78
5148,17,2025-06-29,cancelled,89.66
5149,33,2024-10-01,completed,85.99
5150,41,2024-11-11,cancelled,74.15
5151,8,2024-03-21,returned,386.73
5152,34,2024-05-18,unknown,254.87
5153,52,2025-02-15,returned,234.33
5154,49,2024-04-24,completed,249.23
5155,19,2024-10-17,returned,295.35
5156,15,2024-07-02,cancelled,171.73
5157,4,2024-06-15,completed,16.74
5158,23,2024-12-08,returned,217.37
5159,20,2024-06-16,cancelled,70.18
5160,52,2024-10-07,cancelled,45.56
5161,56,2024-11-03,returned,387.12
5162,53,2025-01-24,cancelled,243.94
5163,32,2024-10-12,completed,25.25
5164,26,2024-08-09,completed,365.4
5165,40,2024-08-20,completed,211.16
5166,42,2025-04-01,completed,207.36
5167,41,2024-03-21,cancelled,288.44
5168,55,2025-04-23,cancelled,39.55
5169,12,2024-09-19,returned,99.06
5170,22,2024-10-27,returned,257.26
5171,44,2024-10-29,completed,41.49
5172,11,2024-10-24,completed,378.32
5173,21,2024-08-15,returned,243.68
5174,55,2025-05-26,unknown,281.47
5175,28,2024-09-27,returned,317.37
5176,38,2024-04-20,completed,64.68
5177,7,2024-07-15,completed,282.69
5178,9,2024-03-15,completed,33.78
5179,24,2024-08-23,unknown,357.38
5180,56,2025-02-28,completed,87.64
5181,55,2024-04-30,returned,195.03
5182,51,2024-08-28,returned,174.12
5183,17,2024-11-16,returned,364.85
5184,39,2025-06-30,returned,250.36
5185,27,2024-03-03,completed,143.94
5186,35,2024-09-09,completed,233.22
5187,28,2024-02-02,returned,306.77
5188,1,2025-01-22,cancelled,280.52
5189,32,2025-01-21,unknown,110.15
5190,19,2024-09-07,completed,203.34
5191,41,2024-04-23,unknown,316.48
5192,23,2024-05-08,cancelled,357.6
5193,28,2024-02-26,returned,111.17
5194,33,2024-07-25,completed,378.02
5195,39,2024-03-06,returned,212.52
5196,29,2024-12-28,cancelled,278.11
5197,15,2024-06-09,completed,207.02
5198,49,2024-07-08,completed,291.48
5199,23,2024-07-14,completed,109.41
5200,7,2024-07-18,completed,84.61
5201,10,2024-12-06,cancelled,115.34
5202,59,2024-05-20,cancelled,189.86
5203,55,2025-04-23,unknown,392.51
5204,2,2024-06-25,cancelled,10.16
5205,55,2025-04-16,cancelled,339.63
5206,42,2024-09-22,completed,185.93
5207,41,2024-05-11,completed,314.69
