order_id,customer_id,order_date,status,amount
5000,56,08/18/2024, completed,$18.97
5001,33,10/04/2024,Returned,109.67
5002,9,04/03/2024,Returned,359.9
5003,53,04/06/2025,,$59.26
5004,33,02/20/2024,COMPLETED,246.55
5005,10,2024-07-26,Completed,$226.14
5006,34,06/09/2025,Completed,$354.23
5007,13,2024-11-10,Completed,207.02
5008,49,2024-04-05,,$245.61
5009,18,05/09/2025,Cancelled,$207.04
5010,34,10/23/2024, completed,$337.28
5011,8,2025-03-08,Completed,271.09
5012,14,12/07/2024,COMPLETED,376.29
5013,24,2024-06-26,COMPLETED,$387.28
5014,7,03/14/2025,COMPLETED,396.03
5015,11,04/17/2025,cancelled,$140.93
5016,21,05/05/2024,completed,140.49
5017,46,2024-02-19,,252.58
5018,5,05/26/2024, completed,$388.9
5019,17,2024-11-05,COMPLETED,$114.01
5020,28,2024-10-22,,368.32
5021,45,2024-12-31,completed,$321.44
5022,58,2024-04-15,completed,256.7
5023,6,2024-09-15,Completed,$185.88
5024,36,04/03/2025,returned,$251.71
5025,46,10/02/2024,COMPLETED,$110.66
5026,60,12/16/2024,,$305.72
5027,33,2024-08-01,completed,$397.84
5028,2,07/02/2025, completed,$209.58
5029,29,05/19/2024,cancelled,265.35
5030,57,03/09/2025,returned,277.59
5031,22,08/22/2024,COMPLETED,$166.64
5032,4,2024-06-12,returned,$176.85
5033,43,02/25/2025,returned,242.72
5034,3,2025-05-16,returned,$182.76
5035,22,2024-12-28,returned,$93.4
5036,22,2025-02-25,returned,$205.08
5037,33,2024-02-06,Completed,64.4
5038,26,2024-02-24, completed,41.12
5039,55,07/08/2024,cancelled,307.61
5040,32,2024-07-03,COMPLETED,25.16
5041,58,04/15/2025,,62.61
5042,33,02/17/2024, completed,$41.36
5043,41,02/04/2025,cancelled,335.64
5044,41,02/20/2024, completed,$199.8
5045,52,04/12/2024,,$359.96
5046,34,04/08/2024,Cancelled,$106.86
5047,17,09/28/2024, completed,98.45
5048,30,06/20/2025,Completed,195.77
5049,50,03/19/2024, completed,$38.37
5050,17,12/08/2024,COMPLETED,$12.89
5051,18,05/12/2024,Cancelled,122.02
5052,30,2025-05-23,Completed,397.37
5053,20,04/28/2024,completed,$121.52
5054,33,05/06/2025,cancelled,90.26
5055,14,04/17/2024,COMPLETED,$301.01
5056,24,06/15/2024,,$117.59
5057,24,2024-09-24,Cancelled,$162.48
5058,32,2025-05-07,COMPLETED,$171.14
5059,8,2025-01-05,Returned,$336.93
5060,60,08/19/2024,returned,$107.26
5061,25,2024-04-19,cancelled,304.22
5062,18,2024-05-15,returned,$256.91
5063,18,04/22/2025, completed,311.09
5064,28,03/01/2024,cancelled,366.06
5065,36,08/27/2024,completed,373.92
5066,40,06/21/2024,returned,198.35
5067,36,2024-06-10,cancelled,$142.72
5068,48,2024-10-24, completed,125.93
5069,26,2024-06-02,COMPLETED,37.47
5070,52,06/24/2025,Cancelled,363.25
5071,29,2025-04-13, completed,$103.68
5072,36,2024-05-04,Returned,109.28
5073,57,02/21/2024,cancelled,158.07
5074,14,2025-02-20,completed,203.27
5075,24,06/08/2024,,254.81
5076,14,2024-05-05, completed,158.75
5077,28,12/16/2024,completed,57.88
5078,49,05/30/2025,Cancelled,$8.07
5079,60,05/25/2025, completed,$314.98
5080,10,05/22/2024,Cancelled,41.32
5081,1,2024-06-08,completed,$261.04
5082,9,10/15/2024,cancelled,$281.84
5083,5,12/04/2024, completed,$160.13
5084,39,2024-02-02,returned,$398.58
5085,21,2024-10-06, completed,$222.42
5086,27,2024-12-11, completed,203.34
5087,27,2024-04-24,cancelled,$370.66
5088,3,01/12/2025,Returned,$275.57
5089,52,11/26/2024,,34.43
5090,13,12/16/2024, completed,$98.48
5091,49,2024-11-29,Cancelled,247.16
5092,32,04/03/2025,completed,$379.91
5093,26,2024-03-27,COMPLETED,170.83
5094,12,2025-03-09,Returned,295.23
5095,60,2024-07-19,COMPLETED,263.77
5096,30,2024-03-04,cancelled,336.94
5097,29,2024-07-23,Completed,$117.68
5098,57,06/06/2024, completed,157.01
5099,20,2025-04-18,Cancelled,84.72
5100,29,2024-08-16,Cancelled,19.87
5101,52,2025-03-21,completed,189.91
5102,4,2024-10-21,Completed,$360.23
5103,18,01/09/2025,completed,110.77
5104,21,2024-11-09,Completed,$17.51
5105,31,05/22/2025,cancelled,317.6
5106,53,2025-06-20,Cancelled,79.71
5107,48,12/07/2024,COMPLETED,$246.04
5108,21,2025-05-17,Completed,$208.66
5109,11,2024-10-11,completed,196.82
5110,11,04/12/2025,Completed,$111.84
5111,7,2025-04-07,Cancelled,$75.89
5112,30,09/28/2024,Completed,$313.66
5113,18,2024-11-01,returned,$86.08
5114,16,2024-09-29, completed,$135.92
5115,16,07/04/2025,Completed,264.1
5116,7,2024-02-05, completed,337.5
5117,3,2024-11-27,completed,82.31
5118,38,08/17/2024,Returned,$208.97
5119,39,10/24/2024,completed,49.47
5120,40,2025-01-24,Returned,$141.29
5121,17,03/11/2024, completed,327.38
5122,27,2025-02-15,returned,$38.55
5123,32,2025-06-10,Completed,319.97
5124,10,05/04/2024,cancelled,280.6
5125,19,2024-12-11,completed,130.45
5126,23,2025-03-31,Returned,$260.64
5127,26,08/27/2024,cancelled,361.44
5128,53,2024-05-03,Returned,$188.68
5129,1,03/24/2024,cancelled,42.9
5130,24,2025-07-01,Returned,119.05
5131,60,2024-04-09,Cancelled,303.39
5132,52,2024-08-21,completed,390.41
5133,4,2025-03-04,COMPLETED,259.01
5134,40,03/21/2025, completed,$333.04
5135,14,2024-03-14,,$69.34
5136,10,10/10/2024, completed,24.11
